"origem","estado_origem","destino","estado_destino","aliquota"
AC,Acre,AL,Alagoas,12.0
AC,Acre,AM,Amazonas,12.0
AC,Acre,AP,Amapá,12.0
AC,Acre,BA,Bahia,12.0
AC,Acre,CE,Ceará,12.0
AC,Acre,DF,Distrito Federal,12.0
AC,Acre,ES,Espírito Santo,12.0
AC,Acre,GO,Goiás,12.0
AC,Acre,MA,Maranhão,12.0
AC,Acre,MT,Mato Grosso,12.0
AC,Acre,MS,Mato Grosso do Sul,12.0
AC,Acre,MG,Minas Gerais,12.0
AC,Acre,PA,Pará,12.0
AC,Acre,PB,Paraíba,12.0
AC,Acre,PR,Paraná,12.0
AC,Acre,PE,Pernambuco,12.0
AC,Acre,PI,Piauí,12.0
AC,Acre,RN,Rio Grande do Norte,12.0
AC,Acre,RS,Rio Grande do Sul,12.0
AC,Acre,RJ,Rio de Janeiro,12.0
AC,Acre,RO,Rondônia,12.0
AC,Acre,RR,Roraima,12.0
AC,Acre,SC,Santa Catarina,12.0
AC,Acre,SP,São Paulo,12.0
AC,Acre,SE,Sergipe,12.0
AC,Acre,TO,Tocantins,12.0
AL,Alagoas,AC,Acre,12.0
AL,Alagoas,AM,Amazonas,12.0
AL,Alagoas,AP,Amapá,12.0
AL,Alagoas,BA,Bahia,12.0
AL,Alagoas,CE,Ceará,12.0
AL,Alagoas,DF,Distrito Federal,12.0
AL,Alagoas,ES,Espírito Santo,12.0
AL,Alagoas,GO,Goiás,12.0
AL,Alagoas,MA,Maranhão,12.0
AL,Alagoas,MT,Mato Grosso,12.0
AL,Alagoas,MS,Mato Grosso do Sul,12.0
AL,Alagoas,MG,Minas Gerais,12.0
AL,Alagoas,PA,Pará,12.0
AL,Alagoas,PB,Paraíba,12.0
AL,Alagoas,PR,Paraná,12.0
AL,Alagoas,PE,Pernambuco,12.0
AL,Alagoas,PI,Piauí,12.0
AL,Alagoas,RN,Rio Grande do Norte,12.0
AL,Alagoas,RS,Rio Grande do Sul,12.0
AL,Alagoas,RJ,Rio de Janeiro,12.0
AL,Alagoas,RO,Rondônia,12.0
AL,Alagoas,RR,Roraima,12.0
AL,Alagoas,SC,Santa Catarina,12.0
AL,Alagoas,SP,São Paulo,12.0
AL,Alagoas,SE,Sergipe,12.0
AL,Alagoas,TO,Tocantins,12.0
AM,Amazonas,AC,Acre,12.0
AM,Amazonas,AL,Alagoas,12.0
AM,Amazonas,AP,Amapá,12.0
AM,Amazonas,BA,Bahia,12.0
AM,Amazonas,CE,Ceará,12.0
AM,Amazonas,DF,Distrito Federal,12.0
AM,Amazonas,ES,Espírito Santo,12.0
AM,Amazonas,GO,Goiás,12.0
AM,Amazonas,MA,Maranhão,12.0
AM,Amazonas,MT,Mato Grosso,12.0
AM,Amazonas,MS,Mato Grosso do Sul,12.0
AM,Amazonas,MG,Minas Gerais,12.0
AM,Amazonas,PA,Pará,12.0
AM,Amazonas,PB,Paraíba,12.0
AM,Amazonas,PR,Paraná,12.0
AM,Amazonas,PE,Pernambuco,12.0
AM,Amazonas,PI,Piauí,12.0
AM,Amazonas,RN,Rio Grande do Norte,12.0
AM,Amazonas,RS,Rio Grande do Sul,12.0
AM,Amazonas,RJ,Rio de Janeiro,12.0
AM,Amazonas,RO,Rondônia,12.0
AM,Amazonas,RR,Roraima,12.0
AM,Amazonas,SC,Santa Catarina,12.0
AM,Amazonas,SP,São Paulo,12.0
AM,Amazonas,SE,Sergipe,12.0
AM,Amazonas,TO,Tocantins,12.0
AP,Amapá,AC,Acre,12.0
AP,Amapá,AL,Alagoas,12.0
AP,Amapá,AM,Amazonas,12.0
AP,Amapá,BA,Bahia,12.0
AP,Amapá,CE,Ceará,12.0
AP,Amapá,DF,Distrito Federal,12.0
